NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIGN	167	1.8319307565689087	0.0897239	Yes	
row_1	DPM2	304	1.478867769241333	0.16201524	Yes	
row_2	PIGK	435	1.2542625665664673	0.2215927	Yes	
row_3	PIGC	806	0.8057974576950073	0.22596087	Yes	
row_4	PIGG	1060	0.6315672397613525	0.23376356	Yes	
row_5	PIGQ	2647	0.0	0.04604904	No	
row_6	PIGM	2937	-0.051390860229730606	0.0149153005	No	
row_7	PIGZ	3520	-0.2127387672662735	-0.04125377	No	
row_8	PIGS	4114	-0.45736247301101685	-0.08410427	No	
row_9	PIGL	4644	-0.6613694429397583	-0.107186966	No	
row_10	PIGP	5292	-0.991118848323822	-0.12452758	No	
row_11	PIGF	5673	-1.252984881401062	-0.094615795	No	
row_12	PIGX	5862	-1.393747091293335	-0.033566445	No	
row_13	PIGT	5999	-1.5377044677734375	0.042241413	No	
row_14	GPAA1	6281	-1.7332450151443481	0.112574406	No	
row_15	PGAP1	7186	-2.4374732971191406	0.15126069	No	
